target_gene,count
non-targeting,4976
TFAM,1213
EIF4B,217
JAZF1,153
TAF13,134
HIRA,129
MBTPS1,115
MAT2A,104
ARPC2,99
DNMT1,82
SMARCB1,81
PHF10,79
NISCH,74
METTL3,73
SDC1,67
PTPN1,66
ATP6V0C,63
TADA1,63
DNAJA3,61
GSK3B,59
TMSB10,54
USF2,54
ATP6V0B,53
DPH2,52
TAZ,50
SMAGP,50
KDM1A,48
MAX,47
STRAP,46
DHX36,45
HDAC3,42
DAXX,41
STAG2,40
EWSR1,40
METTL14,39
WAC,38
PPP2R3C,38
MAU2,36
NDUFB4,34
LZTR1,34
C1QBP,32
CAST,32
HTATSF1,32
UBE3C,31
METTL17,30
FDPS,30
SLC25A3,29
EPB41L2,29
HMGCR,29
SUPV3L1,29
RNF20,27
COX6C,24
SEC62,24
UQCRB,24
ETV4,23
NDUFB6,19
UQCRQ,19
LRPPRC,19
MED12,14
SSBP1,14
OXA1L,14
SMARCE1,12
RRM1,12
KIF20A,11
MED1,11
EIF3H,10
SUPT4H1,8
MED24,6
CHMP3,3
