target_gene,count
non-targeting,75328
HIRA,608
DNMT1,509
KLF10,489
ARPC2,483
JAZF1,460
DHX36,435
TMSB10,433
SMARCB1,431
NISCH,412
USF2,409
NDUFB6,389
PRCP,372
PTPN1,371
IRF3,342
OXCT1,334
WAC,331
KDM2B,326
METTL3,325
NDUFB4,313
C1QBP,306
TSC22D4,300
LZTR1,299
EPB41L2,299
KLHDC2,297
DAXX,295
ATP6V0B,294
EIF3H,291
KIF1B,290
NCK2,287
USP22,286
FOXH1,286
PBX1,285
TWF2,284
IDE,283
SDC1,283
METTL14,282
SMAGP,281
TADA1,280
HMGCR,279
CREG1,277
ZNF593,276
EPHB4,271
ARID1A,271
BIRC2,270
STAG2,268
MED13,268
HMGB2,263
TRAM2,253
TUSC3,253
IGF1R,252
HTATSF1,248
DPH2,246
OXA1L,246
VCL,246
METTL17,245
IGF2R,244
SIX4,239
ANXA6,238
NIT1,237
NRAS,235
CASP3,234
PAGR1,233
CTSV,231
STRAP,231
CENPB,228
GSK3B,227
SHPRH,224
KRT18,223
SSBP1,220
SLC39A6,220
DLG5,219
MAP1B,217
MGST1,217
XRCC4,215
ACVR1B,212
MKI67,211
MAX,211
UQCRB,208
ZNF581,208
PRDM14,205
HMGXB4,200
ZNF426,198
MTFR1,198
CENPO,197
PACSIN3,193
GNG12,192
IKBKG,190
UQCRQ,189
MED12,186
TCF7L2,185
HMGN1,184
MED1,181
UBE3C,178
JMJD8,177
SLC25A3,174
MAP3K7,174
COX6C,174
TMSB4X,173
DOT1L,171
GSTZ1,169
HSBP1,168
TRAPPC6A,163
PHF14,161
TET1,160
DNAJA3,159
MED13L,158
EWSR1,158
PRR12,158
ATM,157
WSB2,156
CASP2,156
SUPV3L1,154
ACAT2,152
KDM1A,150
CSK,150
MBTPS1,149
DHCR24,148
TFAM,147
PHF10,146
SUPT4H1,146
COX4I1,145
MTA1,144
KIF20A,143
MAST2,143
HDAC3,142
SMARCA5,140
CAST,137
PPP2R3C,137
STX4,136
EHMT1,135
RAF1,135
TMBIM6,133
HDAC8,133
CLDN7,132
MAPKAPK2,132
SMARCA4,132
LRPPRC,131
TAZ,130
ZNF286A,129
PAXIP1,128
CDCA2,128
STAT1,127
ZNF598,125
EID2,125
INSIG1,121
MAU2,119
RNF2,114
SAFB,112
ZNF562,110
EIF4B,107
AKT2,105
KAT2A,105
ITGAV,105
CLDN6,101
RNF20,99
PLCB3,98
PMS1,98
ETV4,96
TCF3,94
NFE2L1,93
SIN3B,92
TARBP2,92
ACLY,90
BRD9,76
MAT2A,76
RRM1,74
CALM3,74
POLB,74
TAF13,71
FUBP1,68
ZNF714,67
SALL4,67
MED24,58
CHMP3,51
SLIRP,49
SMARCE1,46
ATP6V0C,42
HAT1,32
TXNDC9,31
STAT6,23
FDPS,22
SEC62,18
SOX2,7
