target_gene,count
non-targeting,10691
MED12,573
EIF3H,369
OXA1L,344
HIRA,341
DHX36,269
MED1,254
TMSB10,228
ARPC2,227
C1QBP,210
JAZF1,209
NDUFB6,190
USF2,185
SMARCB1,182
MAX,180
DNMT1,170
SDC1,170
HMGCR,166
UQCRQ,166
NDUFB4,166
DPH2,164
WAC,162
ATP6V0B,147
NISCH,144
METTL3,138
CHMP3,130
DNAJA3,127
RNF20,124
METTL17,122
METTL14,121
SSBP1,119
COX6C,117
SMAGP,117
SLC25A3,114
LRPPRC,110
STRAP,106
RRM1,103
HTATSF1,96
KIF20A,96
UQCRB,96
TFAM,82
SUPV3L1,80
SUPT4H1,74
MBTPS1,68
MAU2,66
HDAC3,60
ATP6V0C,53
PPP2R3C,52
MAT2A,52
EWSR1,48
EIF4B,41
SMARCE1,31
FDPS,10
SEC62,5
